area,theme,topic,learning_objective
Cartography and Visualization,Map Design Techniques:,Map Icon Design,Summarize the challenges and tools for designing map icons that challenge power structures
Cartography and Visualization,Map Design Techniques:,Multivariate Mapping,Choose suitable visual dimensions to appropriately represent their multiple variables.
Cartography and Visualization,Map Design Techniques:,Multivariate Mapping,"Consider variations upon, or alternatives to, bivariate and multivariate mapping."
Cartography and Visualization,Map Design Techniques:,Multivariate Mapping,Create maps that encode multiple variables into map symbolization.
Cartography and Visualization,Map Design Techniques:,Multivariate Mapping,"Describe categories, and specific methods, of bivariate and multivariate mapping."
Cartography and Visualization,Map Design Techniques:,Multivariate Mapping,Design effective and concise legends for bivariate and multivariate maps.
Cartography and Visualization,Map Design Techniques:,Multivariate Mapping,Discuss the relative merits of bivariate and multivariate cartography for their topic and audience.
Cartography and Visualization,Map Design Techniques:,Multivariate Mapping,Explain the nature of relationships between phenomena in a bivariate choropleth map.
Cartography and Visualization,Map Design Techniques:,Multivariate Mapping,Identify interesting relationships uniquely revealed by their bivariate or multivariate representation.
Cartography and Visualization,Map Design Techniques:,Narrative & Storytelling,
Cartography and Visualization,Map Design Techniques:,Participatory Cartography,
Cartography and Visualization,Map Design Techniques:,Representing Uncertainty,"Compare and contrast different techniques for representing uncertainty in maps (e.g., the use of static vs. dynamic approaches)"
Cartography and Visualization,Map Design Techniques:,Representing Uncertainty,Describe potential types of uncertainty in a given geospatial dataset
Cartography and Visualization,Map Design Techniques:,Representing Uncertainty,"Design uncertainty representations for different types of uncertainty, spatial dimensions, and user tasks"
Cartography and Visualization,Map Design Techniques:,Representing Uncertainty,"Evaluate uncertainty representation techniques by their suitability for representing different types of uncertainty (e.g., intrinsic vs. extrinsic, adjacent vs. coincident, static vs. dynamic)"
Cartography and Visualization,Map Design Techniques:,Spatio-Temporal Representation,"Compare and contrast the relative advantages and limitations four ways to represent spatiotemporal information: single static maps, multiple static maps, single dynamic maps, and multiple dynamic maps."
Cartography and Visualization,Map Design Techniques:,Spatio-Temporal Representation,"Critique the design of a map depicting spatiotemporal information, providing alternative design solutions."
Cartography and Visualization,Map Design Techniques:,Spatio-Temporal Representation,"Deconstruct an animated map by the manner that time is conceptualized (universal, cyclical, etc.) and type of change it depicts (i.e., existential, locational, attribute)."
Cartography and Visualization,Map Design Techniques:,Spatio-Temporal Representation,Describe how a map depicting spatiotemporal information reveals patterns not evident in map showing only spatial information.
Cartography and Visualization,Map Design Techniques:,Spatio-Temporal Representation,"Make the following maps depicting spatiotemporal information: a dance map, a change map, small multiples, an animated map."
Cartography and Visualization,Map Design Techniques:,Spatio-Temporal Representation,Provide an example on how each of the dynamic visual variables can be used to encode spatiotemporal information.
Cartography and Visualization,Map Design Techniques:,Terrain Representation,"Apply various hypsometric tinting schemes to an elevation layer in GIS, and combine this with a relief shading layer using transparency or a similar approach. Discuss how relief shading changes the hypsometric color scheme."
Cartography and Visualization,Map Design Techniques:,Terrain Representation,"Compare the elevation values of a number of nearby and widely separated points on a DEM, and see how shaded relief values correspond to these differences."
Cartography and Visualization,Map Design Techniques:,Terrain Representation,Critique examples of terrain representation based on their relative pros and cons.
Cartography and Visualization,Map Design Techniques:,Terrain Representation,Derive values of slope and aspect from a contour map or from point elevation values.
Cartography and Visualization,Map Design Techniques:,Terrain Representation,Design a stylized terrain map from a digital elevation model (DEM).
