Competency,Topic,Sub-topic,Level,learning_objective
GEOSPATIAL DATA MANAGEMENT,T25. Data Encryption,2. Knowledge of institutional policies,Foundational (F),Summarize common policies that dictate how data encryption is used.
GEOSPATIAL DATA MANAGEMENT,T25. Data Encryption,1. Restrictions on the export of encryption tools,Application (A),Characterize which restrictions apply when exporting encryption tools internationally.
GEOSPATIAL DATA MANAGEMENT,T25. Data Encryption,2. Reverse proxies,Application (A),Characterize when reverse proxies should and should not be used when encrypting data.
GEOSPATIAL DATA MANAGEMENT,T25. Data Encryption,3. Secure Sockets Layer (SSL),Application (A),Characterize when Secure Sockets Layer (SSL) technology should and should not be used when encrypting data.
GEOSPATIAL DATA MANAGEMENT,T25. Data Encryption,4. JavaScript Object Notation (JSON) Web Token (JWT),Application (A),Determine when it is and is not appropriate to encrypt a JavaScript Object Notation (JSON) Web Token (JWT).
GEOSPATIAL DATA MANAGEMENT,T25. Data Encryption,1. Cryptography,MASTERY/UGP (M/U),Evaluate current methods of encrypting data and determine how cryptography can be used to improve these methods.
GEOSPATIAL DATA MANAGEMENT,T25. Data Encryption,2. Geo-blocking,MASTERY/UGP (M/U),Determine how geo-blocking can be used to improve current data encryption techniques.
GEOSPATIAL DATA MANAGEMENT,"T26. Database Security Ethics (e.g., who should have access, roles)",1. Online/classroom learning about database access,Prerequisites (P),Explain the basic concepts of database access.
GEOSPATIAL DATA MANAGEMENT,"T26. Database Security Ethics (e.g., who should have access, roles)",1. Knowledge of customers,Foundational (F),"Summarize what customer considerations should be addressed when accessing database security (e.g., customers access to secure data)."
GEOSPATIAL DATA MANAGEMENT,"T26. Database Security Ethics (e.g., who should have access, roles)",2. Knowledge of institutional policies,Foundational (F),Summarize the common database security policies and why it is important that policies change based on the ability of the institution.
GEOSPATIAL DATA MANAGEMENT,"T26. Database Security Ethics (e.g., who should have access, roles)","1. Knowledge of how to create users, login roles and group permissions",Application (A),"Differentiate between the permissions provided to users, login roles, and groups."
GEOSPATIAL DATA MANAGEMENT,"T26. Database Security Ethics (e.g., who should have access, roles)","1. Knowledge of how to create users, login roles and group permissions",Application (A),"Explain how to create users, login roles, and group permissions."
GEOSPATIAL DATA MANAGEMENT,"T26. Database Security Ethics (e.g., who should have access, roles)",1. Automating the process for efficiency,MASTERY/UGP (M/U),Evaluate current database security techniques and determine how automation can be used to expediate the process.
GEOSPATIAL DATA MANAGEMENT,"T26. Database Security Ethics (e.g., who should have access, roles)",2. Advanced study of ethics,MASTERY/UGP (M/U),Establish standards for teaching and implementing advanced ethics principles.
GEOSPATIAL DATA MANAGEMENT,"T27. Mechanisms of Compromise (e.g., intentional versus accidental)",1. User authorization,Prerequisites (P),Explain the purpose of user authorization and how to determine user authorization.
GEOSPATIAL DATA MANAGEMENT,"T27. Mechanisms of Compromise (e.g., intentional versus accidental)",2. User access methods,Prerequisites (P),Differentiate between the different types of user access methods.
GEOSPATIAL DATA MANAGEMENT,"T27. Mechanisms of Compromise (e.g., intentional versus accidental)",1. Installing keyboard loggers,Foundational (F),Explain what keyboard loggers are and how they are installed.
GEOSPATIAL DATA MANAGEMENT,"T27. Mechanisms of Compromise (e.g., intentional versus accidental)",2. Adding routing/wireless equipment,Foundational (F),Explain techniques for adding routing and wireless equipment.
GEOSPATIAL DATA MANAGEMENT,"T27. Mechanisms of Compromise (e.g., intentional versus accidental)",3. Connecting computing devices,Foundational (F),"Explain how to connect different types of computing devices properly (e.g., wired connections vs. wireless connections)."
GEOSPATIAL DATA MANAGEMENT,"T27. Mechanisms of Compromise (e.g., intentional versus accidental)",4. Knowledge of institutional policies,Foundational (F),Summarize common policies that influence the mechanisms of data compromise.
GEOSPATIAL DATA MANAGEMENT,"T27. Mechanisms of Compromise (e.g., intentional versus accidental)",1. Methods of detection,Application (A),"Compare/contrast different methods of detecting data compromised by phishing, spoofing, and human agent activities."
GEOSPATIAL DATA MANAGEMENT,"T27. Mechanisms of Compromise (e.g., intentional versus accidental)",2. Trust and privacy,Application (A),Differentiate the concepts of trust and privacy and explain how they prevent data from being compromised.
GEOSPATIAL DATA MANAGEMENT,"T27. Mechanisms of Compromise (e.g., intentional versus accidental)",3. Internal versus external threats,Application (A),Differentiate internal versus external threats to data and explain how they can compromise data.
GEOSPATIAL DATA MANAGEMENT,"T28. Consequent Risk Management (e.g., best practices concerning tradeoff between security and accessibility)",1. User authorization,Prerequisites (P),Explain when user authorization should be granted or denied.
GEOSPATIAL DATA MANAGEMENT,"T28. Consequent Risk Management (e.g., best practices concerning tradeoff between security and accessibility)",2. User access methods,Prerequisites (P),Differentiate between the different types of user access methods.
GEOSPATIAL DATA MANAGEMENT,"T28. Consequent Risk Management (e.g., best practices concerning tradeoff between security and accessibility)","3. User roles (e.g., view, publisher, administrator)",Prerequisites (P),"Explain the different roles that users can have when working with data (e.g., view, publisher, administrator)."
GEOSPATIAL DATA MANAGEMENT,"T28. Consequent Risk Management (e.g., best practices concerning tradeoff between security and accessibility)",1. Knowledge of institutional policies,Foundational (F),Summarize the risk management policies for various institutions.
GEOSPATIAL DATA MANAGEMENT,"T28. Consequent Risk Management (e.g., best practices concerning tradeoff between security and accessibility)",1. The Information Technology Infrastructure Library (ITIL) Framework of best practices for risk management,Application (A),Order the five stages of the Information Technology Infrastructure Library (ITIL) risk management process and summarize the purpose of each phase.
GEOSPATIAL DATA MANAGEMENT,"T28. Consequent Risk Management (e.g., best practices concerning tradeoff between security and accessibility)",2. Consequent risk versus outcome risk,Application (A),Differentiate between consequent risks and outcome risks about the data.
GEOSPATIAL DATA MANAGEMENT,"T28. Consequent Risk Management (e.g., best practices concerning tradeoff between security and accessibility)",1. Theory of risk management,MASTERY/UGP (M/U),Define the theory of risk management and explain why it is implemented in data risk management.
GEOSPATIAL DATA MANAGEMENT,"T29. Common Programming Languages (e.g., Python)","1. Computer fundamentals from GIS&T - bit, byte, name components of a computer, and similar",Prerequisites (P),Differentiate between a bit and a byte and explain the purpose of each.
GEOSPATIAL DATA MANAGEMENT,"T29. Common Programming Languages (e.g., Python)",2. List structured programming language,Prerequisites (P),List the different types of structured programming languages.
GEOSPATIAL DATA MANAGEMENT,"T29. Common Programming Languages (e.g., Python)",3. List query language,Prerequisites (P),List the different types of query languages.
GEOSPATIAL DATA MANAGEMENT,"T29. Common Programming Languages (e.g., Python)",4. List scripting languages,Prerequisites (P),List the different types of scripting languages.
GEOSPATIAL DATA MANAGEMENT,"T29. Common Programming Languages (e.g., Python)",5. List schema languages,Prerequisites (P),List the different types of schema languages.
GEOSPATIAL DATA MANAGEMENT,"T29. Common Programming Languages (e.g., Python)",1. Explain the purpose of pseudocode and flow diagrams,Foundational (F),Summarize the purpose of pseudocode and flow diagrams.
GEOSPATIAL DATA MANAGEMENT,"T29. Common Programming Languages (e.g., Python)",2. Describe flow control ,Foundational (F),Summarize the concept of flow control and why it is important when programming.
GEOSPATIAL DATA MANAGEMENT,"T29. Common Programming Languages (e.g., Python)",3. Describe the purpose of a counter,Foundational (F),Summarize the purpose of a counter and why it is important when programming.
GEOSPATIAL DATA MANAGEMENT,"T29. Common Programming Languages (e.g., Python)","4. List and describe the types and purpose of loops (Do (counter), Do (while condition true), and similar)",Foundational (F),"List and summarize the types and purpose of loops (e.g., Do [counter], Do [while condition true])."
GEOSPATIAL DATA MANAGEMENT,"T29. Common Programming Languages (e.g., Python)","5. List and describe the types of conditional statements (If, ElseIf, and similar)",Foundational (F),"List and summarize the types of conditional statements (e.g., If, Else If [Elself])."
GEOSPATIAL DATA MANAGEMENT,"T29. Common Programming Languages (e.g., Python)",6. Explain the purpose of a subroutine,Foundational (F),Summarize the purpose of a subroutine and why it is important when programming.
GEOSPATIAL DATA MANAGEMENT,"T29. Common Programming Languages (e.g., Python)",7. Compare and contrast scripting and programming,Foundational (F),Summarize the relationship between scripting and programming.
GEOSPATIAL DATA MANAGEMENT,"T29. Common Programming Languages (e.g., Python)",8. Describe an application and the role of an application-program interface (API),Foundational (F),Summarize what an application is and the role Application-Program Interfaces (APIs) have.
GEOSPATIAL DATA MANAGEMENT,"T29. Common Programming Languages (e.g., Python)","9. Describe variable, array, array depth, parameter, string, single precision, double precision",Foundational (F),"Define the following terms and summarize how they are used while programming: variable, array, array depth, parameter, string, single precision, double precision"
